Student_ID,Semester,Last_Name,First_Name,Course_1,Start_time1,End_time1,Days1,Grade_1,Absences_1,Course_2,Start_time2,End_time2,Days2,Grade_2,Absences_2,Course_3,Start_time3,End_time3,Days3,Grade_3,Absences_3,Course_4,Start_time4,End_time4,Days4,Grade_4,Absences_4,Grade_Overall
001,Fall 2016,Balfor,Leonard,ART101,8:00,9:20,"Monday, Wednesday",4,P,ART301,10:00,11:20,"Monday, Wednesday",3.3,P,BIO201,16:00,17:20,"Wednesday, Friday",4,P,ACC101,11:00,12:20,"Tuesday, Thursday",3.7,P,3.75
001,Spring 2017,Balfor,Leonard,ENG165,9:30,11:00,"Tuesday, Thursday",3.7,P,ART210,11:00,14:00,Monday,3,P,ART232,11:00,14:00,Wednesday,4,P,HIS232,14:30,16:00,Wednesday,3.7,P,3.60
002,Fall 2016,Egbert,Stan,ACC201,12:00,13:20,"Tuesdays, Thursday",4,P,BIO301,17:00,18:20,"Wednesday, Friday",3.7,P,CHE301,12:00,14:50,Friday,4,P,ENG301,16:00,17:20,"Monday, Wednesday",3,P,3.68
002,Spring 2017,Egbert,Stan,FRN110,14:00,15:20,Wednesday,3.3,P,BIO310,12:00,13:30,"Monday, Wednesday",3,P,CHE310,18:00,19:30,"Monday, Wednesday",3,P,BIO210,10:00,11:30,"Monday, Wednesday",3.7,P,3.25
003,Fall 2016,Meyer,Britney,ART301,15:00,16:20,"Wednesday, Friday",2,P,ACC201,12:00,13:20,"Tuesday, Thursday",2.7,P,ENG101,14:00,15:20,"Monday, Wednesday",3,P,FRN301,16:00,17:20,"Tuesday, Thursday",3.3,P,2.75
003,Spring 2017,Meyer,Britney,ART390,18:00,20:30,Wednesday,3.3,P,FRN390,18:00,20:30,Monday,3.3,P,HIS110,11:00,12:20,Monday,3.7,P,HIS232,14:30,16:00,Wednesday,3.3,P,3.40
004,Fall 2016,English,Emily,PSY101,14:00,16:50,Thursday,3,P,ECO101,14:00,16:50,Friday,4,P,ECO201,16:00,18:50,Friday,1,P,MSC101,8:00,10:50,Tuesday,4,P,3.00
004,Spring 2017,English,Emily,PSY110,12:00,13:20,"Monday, Wednesday",3.7,P,PSY210,13:30,14:50,"Monday, Wednesday",3.7,P,CHE210,16:00,17:30,"Monday, Wednesday",4,P,BIO110,8:00,9:30,"Monday, Wednesday",4,P,3.85
005,Fall 2016,Smith,Dan,HIS101,8:00,9:20,"Monday, Friday",4,P,ART301,10:00,11:20,"Monday, Wednesday",3.3,P,FRN101,14:00,15:20,"Tuesday, Thursday",4,P,MSC201,9:00,11:50,Tuesday,3.7,P,3.75
005,Spring 2017,Smith,Dan,ENG165,9:30,11:00,"Tuesday, Thursday",4,P,ART210,11:00,14:00,Monday,4,P,ART232,11:00,14:00,Wednesday,4,P,HIS232,14:30,16:00,Wednesday,4,P,4.00
006,Fall 2016,Kay,Carly,MTH201,9:00,10:20,"Tuesday, Friday",4,P,COM101,11:00,12:20,"Monday, Wednesday",3,P,PLS301,13:00,14:20,"Wednesday, Friday",3.7,P,PSY101,14:00,16:50,Thursday,2.7,P,3.35
006,Spring 2017,Kay,Carly,PSY110,12:00,13:20,"Monday, Wednesday",2.7,P,PSY210,13:30,14:50,"Monday, Wednesday",2.7,P,PLS210,18:00,20:00,"Monday, Wednesday",3,P,ENG110,9:30,11:00,"Tuesday, Thursday",2.3,P,2.68
007,Fall 2016,Osgood,Manny,CS201,8:00,9:20,"Tuesday, Thursday",3.7,P,PHY201,10:00,12:50,Wednesday,4,P,BIO101,15:00,16:20,"Wednesday, Friday",3,P,BIO301,17:00,18:20,"Wednesday, Friday",2.3,P,3.25
007,Spring 2017,Osgood,Manny,CS110,17:30,20:30,Monday,3.3,P,CS210,17:30,21:00,Wednesday,3.3,P,MTH110,8:00,9:30,"Monday, Wednesday",3.3,P,COM110,11:00,13:50,Monday,3,P,3.23
008,Fall 2016,Holzmann,Peter,CS301,10:00,11:20,"Tuesday, Thursday",3,P,ACC201,12:00,13:20,"Tuesday, Thursday",2,P,ECO101,14:00,16:50,Friday,3.3,P,BIO301,17:00,18:20,"Wednesday, Friday",4,P,3.08
008,Spring 2017,Holzmann,Peter,CS110,17:30,20:30,Monday,1.7,P,CS210,17:30,21:00,Wednesday,1.7,P,MTH110,8:00,9:30,"Monday, Wednesday",1.7,P,ENG110,9:30,11:00,"Tuesday, Thursday",2,P,1.78
009,Fall 2016,Collins,Carina,ECO201,16:00,18:50,Friday,3.3,P,FRN101,14:00,15:20,"Tuesday, Thursday",3,P,PLS301,13:00,14:20,"Wednesday, Friday",4,P,CHE201,10:00,12:50,Friday,4,P,3.58
009,Spring 2017,Collins,Carina,ACC110,8:00,9:30,"Tuesdays, Thursday",2.7,P,ACC210,10:00,11:30,"Tuesday, Thursday",2.7,P,ECO110,14:00,15:30,"Tuesday, Thursday",3,P,ECO210,16:00,17:30,"Tuesday, Thursday",3,P,2.85
010,Fall 2016,Deacons,Henrietta,MTH201,9:00,10:20,"Tuesday, Friday",3,P,PLS101,11:00,12:20,"Wednesday, Friday",4,P,COM301,13:00,14:20,"Monday, Wednesday",2,P,HIS301,10:00,11:20,"Monday, Friday",3,P,3.00
010,Spring 2017,Deacons,Henrietta,PLS210,18:00,20:00,"Monday, Wednesday",3,P,PSY310,15:00,16:20,"Monday, Wednesday",3,P,PSY210,13:30,14:50,"Monday, Wednesday",3,P,ENG390,18:00,20:30,Thursday,3,P,3.00
011,Fall 2016,Johnson,Jimothy,ECO301,7:00,9:50,Friday,2.7,P,ACC301,13:00,14:20,"Tuesday, Thursday",2.7,P,FRN201,15:00,16:20,"Tuesday, Thursday",3,P,ENG301,16:00,17:20,"Monday, Wednesday",3,P,2.85
011,Spring 2017,Johnson,Jimothy,FRN210,16:00,17:20,Monday,2.7,P,ECO310,18:00,19:30,"Tuesday, Thursday",2.7,P,ACC310,12:00,13:30,"Tuesday, Thursday",2.7,P,MTH110,8:00,9:30,"Monday, Wednesday",2.3,P,2.60
012,Fall 2016,Williams,Rain,HIS301,10:00,11:20,"Monday, Friday",3,P,FRN201,15:00,16:20,"Tuesday, Thursday",3.3,A,ENG301,16:00,17:20,"Monday, Wednesday",3,P,ART101,8:00,9:20,"Monday, Wednesday",4,P,3.33
012,Spring 2017,Williams,Rain,HIS390,18:00,20:30,Wednesday,3,P,ENG390,18:00,20:30,Thursday,3.3,P,FRN210,16:00,17:20,Monday,3.3,P,HIS232,14:30,16:00,Wednesday,3.3,P,3.23
013,Fall 2016,Davis,Miriam,CHE101,8:00,10:50,Friday,3.7,P,COM301,13:00,14:20,"Monday, Wednesday",3.7,P,ENG301,16:00,17:20,"Monday, Wednesday",4,P,FRN201,15:00,16:20,"Tuesday, Thursday",4,P,3.85
